,0,1
779,42,441
780,201,614
781,336,393
782,460,209
783,276,528
784,543,225
785,291,489
786,36,528
787,608,205
788,307,613
789,601,175
790,501,237
791,521,66
792,0,471
793,452,195
794,363,532
795,346,461
796,6,523
797,201,479
798,400,261
799,451,245
800,463,210
801,403,168
802,535,324
803,441,42
804,164,560
805,526,266
806,105,520
807,317,510
808,382,630
809,203,506
810,235,449
811,504,363
812,201,591
813,30,425
814,332,418
815,330,494
816,467,63
817,459,59
818,275,387
819,631,162
820,518,154
821,295,454
822,327,586
823,209,460
824,255,427
825,496,126
826,596,302
827,80,538
828,427,255
829,318,623
830,443,227
831,604,333
832,436,340
833,633,378
834,324,535
835,403,172
836,511,123
837,620,39
838,545,274
839,632,242
840,162,631
841,281,582
842,609,286
843,570,38
844,143,599
845,485,336
846,571,250
847,335,540
848,487,287
849,364,436
850,196,489
851,225,543
852,627,285
853,337,595
854,358,389
855,363,504
856,256,530
857,382,517
858,242,632
859,592,336
860,33,449
861,363,513
862,301,529
863,411,144
864,417,75
865,405,348
866,470,230
867,170,454
868,321,516
869,89,609
870,474,200
871,141,576
872,475,263
873,534,260
874,339,411
875,595,337
876,387,308
877,383,445
878,575,377
879,418,332
880,49,447
881,528,36
882,463,65
883,190,544
884,296,562
885,509,50
886,575,224
887,253,600
888,236,529
889,582,281
890,63,467
891,240,410
892,168,403
893,549,360
894,606,86
895,190,409
896,473,212
897,336,472
898,497,197
899,446,124
900,71,583
901,623,156
902,134,392
903,192,464
904,564,116
905,424,194
906,576,81
907,223,442
908,299,599
909,453,10
910,194,424
911,495,263
912,470,328
913,604,179
914,195,398
915,259,401
916,534,102
917,158,587
918,313,610
919,526,98
920,408,124
921,29,613
922,374,629
923,615,8
924,389,358
925,573,191
926,481,355
927,333,466
928,268,458
929,490,4
930,412,341
931,471,0
932,2,595
933,603,308
934,114,418
935,365,427
936,355,481
937,421,188
938,329,581
939,598,122
940,149,394
941,603,326
942,398,195
943,53,417
944,308,387
945,445,383
946,577,26
947,250,571
948,336,485
949,55,624
950,173,607
951,125,567
952,550,185
953,160,506
954,167,542
955,396,136
956,404,238
957,79,429
958,83,570
959,453,252
960,437,155
961,227,443
962,311,424
963,357,391
964,569,54
965,117,568
966,474,320
967,585,17
968,632,101
969,165,477
970,605,233
971,6,462
972,596,264
973,76,548
974,127,441
975,582,118
976,392,134
977,563,361
978,519,336
979,51,469
980,387,275
981,607,40
982,503,239
983,232,499
984,542,167
985,589,108
986,14,456
987,422,278
988,614,201
989,557,66
990,7,435
991,499,232
